,title,link
0,하체운동 허벅지운동 런지! 홈트에서 많이 하는 운동!  잘못하시면 무릎박살납니다,https://youtube.com/watch?v=7erin-2cpRo
1,런지의 기본과 간과하기 쉬운 몇가지들,https://youtube.com/watch?v=oYiBDWhmrX8
2,"ENG)하루 10분 런지 (feat. 중둔근 강화, 힙업, 하체다이어트)",https://youtube.com/watch?v=CaT6kHxngJE
3,ENG)엉짱 심으뜸이 알려주는 런지의 정석 I 힙업/힙운동/힙업운동 I basic lungeㅣhow to do lunge,https://youtube.com/watch?v=gltEwrNd5Z8
4,"전적으로 저를 믿고 따라오시면 체중감량을 무조건 약속드리는 아갈머리 전신유산소 / NO SQUAT, NO LUNGE, NO JUMP AEROBIC WORKOUT",https://youtube.com/watch?v=4AU4kY4CAio
5,런지 '이렇게' 제발 하지마세요(무릎 박살),https://youtube.com/watch?v=NZcwOWUkBt4
6,"하체, 엉덩이 운동 ‘런지’ 제대로 하세요!",https://youtube.com/watch?v=oPkwl7cFlyk
7,런지ㅡ이렇게 하면 절대 안됩니다~!!(김명섭관장이 설명하는 하체운동 런지를 무릎안아프게하는 법),https://youtube.com/watch?v=eE82SDgdBZQ
8,런지 제발 이렇게 하지 마세요! 이렇게 하세요! 엉덩이 개입 높이는 법,https://youtube.com/watch?v=7IZtFeqtdGE
9,스쿼트 할까? 런지 할까?,https://youtube.com/watch?v=0DcibfYI6AI
10,무릎 부담 적은 런지,https://youtube.com/watch?v=ZaVJN_Mj16M
11,런지 200회 챌린지 I 힙업 & 하체 운동 (Lunge 200 times challenge),https://youtube.com/watch?v=C_LDsCwVf8w
12,"하체 근력을 강화하는 가장 빠른 방법, 50세 이후 필수 시청!  [50대 하체 운동, 중년 하체 운동, 런지, 햄스트링 컬, 볼 벽 스쿼트]",https://youtube.com/watch?v=NTetHa7N1Mc
13,"스쿼트 없고! 런지도 없고! 층간소음도 없지만! 살이 미친듯이 빠지는 샤발라야 전신유산소!! / NO SQUAT, LUNGE, JUMP FULLBODY AEROBIC WORKOUT",https://youtube.com/watch?v=ZipK8XzIGTY
14,계단운동 해도 되나요?,https://youtube.com/watch?v=Y2ldSSfIxjE
15,허리와 무릎에 부담이 적은 스쿼트,https://youtube.com/watch?v=mOWcfGTeA8g
16,비키니 선수 자세교정 - 런지 / 함지연 선수,https://youtube.com/watch?v=sHRlq28_ngo
17,"힙업운동 런지 제대로 하는법 | 무릎,허벅지만 아프다면 꼭 봐야할 영상!",https://youtube.com/watch?v=-OK8SK8gtJI
18,어떠한 런지부터 할까? 다양한 런지의 난이도와 접근순서! 헬린이는 이거부터!!!,https://youtube.com/watch?v=754dyocQysY
19,"강경원의 삼단계 런지 : 제대로 하는법, 초보, 중급, 상급자 차이 비교",https://youtube.com/watch?v=0UBc78rXb-I
20,ENG)하루10분 스쿼트로 기초 체력 기르기!,https://youtube.com/watch?v=q6hBSSfokzY
21,이렇게 쉬운데 살은 왜이렇게 잘빠지는거죠? (땀대폭발 팔벌려뛰기 전신유산소 HIIT) / Jumping Jacks Variation HIIT FULLBODY Workout,https://youtube.com/watch?v=fBh97ozxNGw
22,하체운동-레그익스텐션(Leg Extension)의 모든것!,https://youtube.com/watch?v=rIoPAhtMdvw
23,"(런지자세 잘하는법) 무릎,허벅지만 아픈 분들에게 추천해요",https://youtube.com/watch?v=zkO48VAJ1Sc
24,스쿼트보다 런지가 좋은 점들은??,https://youtube.com/watch?v=uhg4C7xokmk
25,하체운동 끝판왕 런지 100개 6분만에 클리어 / 100 Lunges Challenge : Best Leg Workout,https://youtube.com/watch?v=2Af7DwCbAlo
26,"하체 운동과 힙업의 끝판왕 런지의 놀라운 효과와 방법, 모든 종류!",https://youtube.com/watch?v=5kuLBT9H0Bs
27,하체운동#3 - 런지 (하체 자극 두가지 방법),https://youtube.com/watch?v=XcRQfjHZ7T4
28,스쿼트 없이 하체를 키우는 최고의 하체운동,https://youtube.com/watch?v=QSCeJ__akl0
29,단기간 최고의 힙업운동 런지 |  엉덩이자극 100%,https://youtube.com/watch?v=Lb3Lli3Mejc
